MsgIdsInUse,               16,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
PeakMsgIdsInUse,           20,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
MaxMsgIdsAllowed,          24,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
PipesInUse,                28,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
PeakPipesInUse,            32,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
MaxPipesAllowed,           36,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
MemInUse,                  40,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
PeakMemInUse,              44,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
MaxMemAllowed,             48,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
SubscriptionsInUse,        52,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
PeakSubscriptionsInUse,    56,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
MaxSubscriptionsAllowed,   60,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
SBBuffersInUse,            64,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
PeakSBBuffersInUse,        68,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
MaxPipeDepthAllowed,       72,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
